timestep,avg_payoff
0,42.051226382639285
1,47.152908807831366
2,49.26109141053578
3,53.091089520960224
4,51.99216128803192
5,52.696692761798076
6,53.985474825545765
7,54.74228408436073
8,52.98831253578054
9,52.50680815004097
10,52.14408849808426
11,48.19292304956413
12,50.069851118190655
13,53.25993444344589
14,51.16547642627747
15,51.31315831574734
16,51.45735469335967
17,52.97409790719446
18,51.02347854357025
19,53.15992755929126
20,53.101937559999755
21,55.48479450985955
22,56.09951716503845
23,54.74250880473889
24,56.01813893557269
25,56.548299379433026
26,52.8600350077935
27,51.8880692459709
28,52.90987512120412
29,55.06237034483705
30,59.164531780915574
31,58.481783983629086
32,58.96896915187488
33,61.68973855948847
34,61.68973855948847
35,60.1409253575068
36,55.24892737821086
37,57.693988901576716
38,57.07092090811306
39,59.288625119016494
40,61.68973855948847
41,58.18433937520381
42,55.96657138236944
43,56.84781369046887
44,58.278187839738166
45,57.15786593710092
46,59.584092209755205
47,58.23086124270489
48,57.64520316367508
49,54.93148148132979
50,54.87616930285308
51,58.19085651577643
52,60.40021646077311
53,58.97958740913978
54,55.630299011545176
55,56.752360495249704
56,64.19356242666132
57,67.05387996408984
58,75.70174028037356
59,75.47421087027419
60,87.93093500483235
61,93.18534932559739
62,93.56937757836361
63,88.72130455713966
64,92.54875029905813
65,83.50240240093011
66,84.1751711778438
67,93.2071076796577
68,96.67539122898901
69,87.9336923885122
70,79.22428885306957
71,76.20719578405911
72,81.49062419669809
73,84.37322830275534
74,85.92257560650776
75,91.39911595310849
76,91.6705088883019
77,90.82925751583822
78,91.54778800160483
79,91.14476591290394
80,91.0392833453452
81,82.04397493534397
82,86.53407258313902
83,87.89702977794319
84,95.87094262615877
85,96.47591034974407
86,87.19751474099958
87,89.09938383465209
88,94.70009159327061
89,91.92773428687585
90,100.0
91,100.0
92,92.24852012929419
93,88.68872394475068
94,87.829942505761
95,83.5209952259836
96,88.34589154958624
97,85.06239111216266
98,87.6820019211325
99,91.53903634108289
100,96.29398390220601
